Left Hand Side,Middle Hand Side,Right Hand Side,Support,Confidence,Lift
tomato sauce,spaghetti,nan,0.0030662578322890282,0.2169811320754717,5.535970992170453
nan,fromage blanc,ground beef,0.003332888948140248,0.2450980392156863,5.208159751152586
shrimp,herb & pepper,olive oil,0.0029329422743634183,0.2558139534883721,5.172130633736601
fromage blanc,honey,nan,0.003332888948140248,0.2450980392156863,5.164270764485569
light cream,chicken,honey,0.004532728969470737,0.29059829059829057,4.84395061728395
light cream,chicken,tomatoes,0.004532728969470737,0.29059829059829057,4.84395061728395
herb & pepper,frozen vegetables,milk,0.0027996267164378083,0.4666666666666667,4.749615558570783
pasta,escalope,ground beef,0.005865884548726837,0.3728813559322034,4.700811850163794
pasta,escalope,ground beef,0.005865884548726837,0.3728813559322034,4.700811850163794
cereals,spaghetti,french fries,0.0030662578322890282,0.45999999999999996,4.681763907734057
herb & pepper,ground beef,ground beef,0.003199573390214638,0.23076923076923078,4.665768194070081
shrimp,pasta,eggs,0.005065991201173177,0.3220338983050847,4.506672147735896
chocolate,herb & pepper,frozen vegetables,0.003999466737768298,0.4411764705882354,4.4901827759597746
cake,frozen vegetables,nan,0.0030662578322890282,0.2987012987012987,4.367560314928736
herb & pepper,ground beef,ground beef,0.0041327822956939075,0.2066666666666667,4.178454627133872
whole wheat pasta,olive oil,ground beef,0.007998933475536596,0.2714932126696833,4.13077198425009
shrimp,frozen smoothie,milk,0.0027996267164378083,0.38181818181818183,4.005619834710744
spaghetti,herb & pepper,nan,0.006399146780429276,0.3934426229508197,4.004359721511667
